This is a log file of a temperture control run being done in Physics 350. It records the temperature, power, the control bandwidth, and settle bandwidth parameters versus time.

11/10/2014
12:58 PM

DDD

Temp	Power	Setpoint	C. band	S. Band	Settle time
59.368	0.701	60.000	4.000	1.000	30.000
59.411	0.693	60.000	4.000	1.000	30.000
59.446	0.688	60.000	4.000	1.000	30.000
59.474	0.686	60.000	4.000	1.000	30.000
59.499	0.684	60.000	4.000	1.000	30.000
59.518	0.681	60.000	4.000	1.000	30.000
59.538	0.678	60.000	4.000	1.000	30.000
59.556	0.675	60.000	4.000	1.000	30.000
59.571	0.675	60.000	4.000	1.000	30.000
59.582	0.675	60.000	4.000	1.000	30.000
59.589	0.675	60.000	4.000	1.000	30.000
59.595	0.675	60.000	4.000	1.000	30.000
59.603	0.675	60.000	4.000	1.000	30.000
59.611	0.675	60.000	4.000	1.000	30.000
59.618	0.675	60.000	4.000	1.000	30.000
59.625	0.675	60.000	4.000	1.000	30.000
59.631	0.675	60.000	4.000	1.000	30.000
59.636	0.675	60.000	4.000	1.000	30.000
59.638	0.677	60.000	4.000	1.000	30.000
59.636	0.679	60.000	4.000	1.000	30.000
59.633	0.682	60.000	4.000	1.000	30.000
59.632	0.683	60.000	4.000	1.000	30.000
59.629	0.684	60.000	4.000	1.000	30.000
59.624	0.687	60.000	4.000	1.000	30.000
59.618	0.692	60.000	4.000	1.000	30.000
59.615	0.693	60.000	4.000	1.000	30.000
59.616	0.693	60.000	4.000	1.000	30.000
59.618	0.695	60.000	4.000	1.000	30.000
59.619	0.696	60.000	4.000	1.000	30.000
59.617	0.698	60.000	4.000	1.000	30.000
59.610	0.702	60.000	4.000	1.000	30.000
59.600	0.707	60.000	4.000	1.000	30.000
59.593	0.711	60.000	4.000	1.000	30.000
59.589	0.711	60.000	4.000	1.000	30.000
59.586	0.713	60.000	4.000	1.000	30.000
59.584	0.715	60.000	4.000	1.000	30.000
59.583	0.717	60.000	4.000	1.000	30.000
59.580	0.720	60.000	4.000	1.000	30.000
59.579	0.722	60.000	4.000	1.000	30.000
59.579	0.723	60.000	4.000	1.000	30.000
59.580	0.724	60.000	4.000	1.000	30.000
59.582	0.724	60.000	4.000	1.000	30.000
59.588	0.725	60.000	4.000	1.000	30.000
59.594	0.724	60.000	4.000	1.000	30.000
59.598	0.726	60.000	4.000	1.000	30.000
59.603	0.728	60.000	4.000	1.000	30.000
59.612	0.725	60.000	4.000	1.000	30.000
59.622	0.724	60.000	4.000	1.000	30.000
59.629	0.724	60.000	4.000	1.000	30.000
59.637	0.724	60.000	4.000	1.000	30.000
59.646	0.723	60.000	4.000	1.000	30.000
59.656	0.722	60.000	4.000	1.000	30.000
59.667	0.720	60.000	4.000	1.000	30.000
59.677	0.719	60.000	4.000	1.000	30.000
59.685	0.719	60.000	4.000	1.000	30.000
59.690	0.719	60.000	4.000	1.000	30.000
59.697	0.719	60.000	4.000	1.000	30.000
59.705	0.717	60.000	4.000	1.000	30.000
59.713	0.716	60.000	4.000	1.000	30.000
59.717	0.718	60.000	4.000	1.000	30.000
59.716	0.719	60.000	4.000	1.000	30.000
59.714	0.721	60.000	4.000	1.000	30.000
59.715	0.721	60.000	4.000	1.000	30.000
59.718	0.722	60.000	4.000	1.000	30.000
59.722	0.721	60.000	4.000	1.000	30.000
59.721	0.725	60.000	4.000	1.000	30.000
59.714	0.730	60.000	4.000	1.000	30.000
59.700	0.735	60.000	4.000	1.000	30.000
59.697	0.738	60.000	4.000	1.000	30.000
59.705	0.738	60.000	4.000	1.000	30.000
59.720	0.735	60.000	4.000	1.000	30.000
59.713	0.740	60.000	4.000	1.000	30.000
59.694	0.748	60.000	4.000	1.000	30.000
59.688	0.751	60.000	4.000	1.000	30.000
59.669	0.760	60.000	4.000	1.000	30.000
59.661	0.762	60.000	4.000	1.000	30.000
59.642	0.771	60.000	4.000	1.000	30.000
59.624	0.778	60.000	4.000	1.000	30.000
59.610	0.782	60.000	4.000	1.000	30.000
59.594	0.236	30.000	4.000	1.000	30.000
59.587	0.017	30.000	4.000	1.000	30.000
59.569	0.003	30.000	4.000	1.000	30.000
59.508	0.011	30.000	4.000	1.000	30.000
59.414	0.020	30.000	4.000	1.000	30.000
59.297	0.027	30.000	4.000	1.000	30.000
59.159	0.031	30.000	4.000	1.000	30.000
59.010	0.035	30.000	4.000	1.000	30.000
58.846	0.039	30.000	4.000	1.000	30.000
58.668	0.042	30.000	4.000	1.000	30.000
58.480	0.045	30.000	4.000	1.000	30.000
58.288	0.047	30.000	4.000	1.000	30.000
58.089	0.048	30.000	4.000	1.000	30.000
57.879	0.050	30.000	4.000	1.000	30.000
57.660	0.053	30.000	4.000	1.000	30.000
57.439	0.054	30.000	4.000	1.000	30.000
57.215	0.054	30.000	4.000	1.000	30.000
56.988	0.055	30.000	4.000	1.000	30.000
56.760	0.056	30.000	4.000	1.000	30.000
56.531	0.056	30.000	4.000	1.000	30.000
56.298	0.056	30.000	4.000	1.000	30.000
56.061	0.058	30.000	4.000	1.000	30.000
55.821	0.059	30.000	4.000	1.000	30.000
55.576	0.059	30.000	4.000	1.000	30.000
55.324	0.061	30.000	4.000	1.000	30.000
55.068	0.062	30.000	4.000	1.000	30.000
54.807	0.063	30.000	4.000	1.000	30.000
54.547	0.063	30.000	4.000	1.000	30.000
54.292	0.062	30.000	4.000	1.000	30.000
54.043	0.061	30.000	4.000	1.000	30.000
53.797	0.060	30.000	4.000	1.000	30.000
53.555	0.059	30.000	4.000	1.000	30.000
53.310	0.059	30.000	4.000	1.000	30.000
53.066	0.060	30.000	4.000	1.000	30.000
52.824	0.059	30.000	4.000	1.000	30.000
52.581	0.059	30.000	4.000	1.000	30.000
52.342	0.059	30.000	4.000	1.000	30.000
52.102	0.059	30.000	4.000	1.000	30.000
51.867	0.058	30.000	4.000	1.000	30.000
51.635	0.057	30.000	4.000	1.000	30.000
51.404	0.057	30.000	4.000	1.000	30.000
51.172	0.057	30.000	4.000	1.000	30.000
50.942	0.057	30.000	4.000	1.000	30.000
50.711	0.057	30.000	4.000	1.000	30.000
50.481	0.056	30.000	4.000	1.000	30.000
50.250	0.056	30.000	4.000	1.000	30.000
50.014	0.057	30.000	4.000	1.000	30.000
49.780	0.057	30.000	4.000	1.000	30.000
49.544	0.057	30.000	4.000	1.000	30.000
49.316	0.057	30.000	4.000	1.000	30.000
49.088	0.055	30.000	4.000	1.000	30.000
48.862	0.055	30.000	4.000	1.000	30.000
48.638	0.055	30.000	4.000	1.000	30.000
48.416	0.055	30.000	4.000	1.000	30.000
48.193	0.054	30.000	4.000	1.000	30.000
47.973	0.054	30.000	4.000	1.000	30.000
47.755	0.053	30.000	4.000	1.000	30.000
47.545	0.052	30.000	4.000	1.000	30.000
47.334	0.051	30.000	4.000	1.000	30.000
47.119	0.052	30.000	4.000	1.000	30.000
46.905	0.052	30.000	4.000	1.000	30.000
46.692	0.052	30.000	4.000	1.000	30.000
46.482	0.052	30.000	4.000	1.000	30.000
46.278	0.050	30.000	4.000	1.000	30.000
46.077	0.049	30.000	4.000	1.000	30.000
